ticket_id,case_id,created_at,requester_id,department,channel,category,affected_system,priority,subject,description,status,assignee_id,resolution_code,time_to_resolve_hours,reopened,sla_breached,csat
TCK-00001,,2025-04-18T14:43,USR-00132,Engineering,Phone,Hardware,Laptop,P4,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Resolved,TECH-07,Workaround,1.2,Yes,No,2
TCK-00002,,2025-01-27T14:05,USR-00175,Engineering,Chat,Software,Laptop,P3,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Resolved,TECH-07,Escalated,1.1,No,No,5
TCK-00003,,2025-04-23T13:57,USR-00238,Finance,Phone,Software,CRM,P4,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Resolved,TECH-02,Duplicate,1.9,No,No,5
TCK-00004,,2025-05-10T17:28,USR-00251,HR,Phone,Hardware,Printer,P4,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Resolved,TECH-01,Fixed,1.3,No,No,5
TCK-00005,CASE-00051,2025-02-08T12:10,USR-00138,Ops,Email,Email,Outlook,P2,Outlook not syncing new mail,"Outlook shows 'Disconnected' and no new mail has arrived since this morning, though webmail works fine.",Resolved,TECH-06,Fixed,10.4,No,No,4
TCK-00006,,2025-05-27T14:05,USR-00174,Ops,Phone,Network,Laptop,P3,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Resolved,TECH-07,User Education,0.9,No,No,2
TCK-00007,CASE-00093,2025-05-23T09:29,USR-00220,Sales,Phone,Account/Access,CRM,P1,Need access to CRM Sales module,I moved to the Sales team and need the CRM Sales module added to my account.,Resolved,TECH-04,Fixed,11.5,No,No,4
TCK-00008,,2025-04-14T12:16,USR-00189,Engineering,Chat,Security,Outlook,P2,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,Closed,TECH-03,Duplicate,7.9,No,Yes,5
TCK-00009,,2025-03-30T15:33,USR-00167,Ops,Chat,Software,Laptop,P3,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Resolved,TECH-04,No Issue Found,2.1,No,No,4
TCK-00010,,2025-03-23T14:11,USR-00176,Legal,Portal,Account/Access,CRM,P3,Need access to CRM Sales module,I moved to the Sales team and need the CRM Sales module added to my account.,In Progress,TECH-08,,,No,No,
TCK-00011,,2025-04-19T16:52,USR-00205,Sales,Portal,Hardware,Laptop,P4,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Open,TECH-06,,,No,No,
TCK-00012,,2025-03-03T14:44,USR-00184,Engineering,Chat,Hardware,Laptop,P2,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Resolved,TECH-05,Workaround,7.2,No,No,4
TCK-00013,CASE-00051,2025-05-25T12:39,USR-00134,Engineering,Email,Email,Outlook,P2,Outlook stopped receiving email this morning,"Outlook shows 'Disconnected' and no new mail has arrived since this morning, though webmail works fine.",Resolved,TECH-02,Fixed,9.9,No,Yes,4
TCK-00014,CASE-00042,2025-04-26T13:27,USR-00125,Sales,Chat,VPN,VPN,P2,Cannot stay connected to VPN after client upgrade,Since the VPN client auto-updated this week the tunnel drops every 3-5 minutes and I have to reconnect constantly.,In Progress,TECH-06,,,No,No,
TCK-00015,,2025-01-14T15:38,USR-00212,Finance,Portal,Software,Outlook,P2,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,In Progress,TECH-01,,,No,Yes,
TCK-00016,,2025-02-17T10:20,USR-00241,Engineering,Portal,Software,Laptop,P2,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Resolved,TECH-05,No Issue Found,4.9,Yes,Yes,5
TCK-00017,CASE-00088,2025-06-02T12:41,USR-00260,Ops,Phone,Hardware,Laptop,P1,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,In Progress,TECH-05,,,No,Yes,
TCK-00018,,2025-05-25T16:31,USR-00169,Finance,Email,Security,Outlook,P3,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,In Progress,TECH-06,,,No,No,
TCK-00019,,2025-05-24T14:37,USR-00171,Sales,Phone,Security,Outlook,P4,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,Closed,TECH-04,Fixed,1.1,No,No,5
TCK-00020,,2025-04-12T14:45,USR-00253,Legal,Email,Network,Laptop,P3,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Resolved,TECH-01,Workaround,3.4,No,No,5
TCK-00021,CASE-00051,2025-05-23T15:08,USR-00119,HR,Email,Email,Outlook,P2,Outlook not syncing new mail,"Outlook shows 'Disconnected' and no new mail has arrived since this morning, though webmail works fine.",In Progress,TECH-01,,,No,No,
TCK-00022,CASE-00051,2025-03-07T10:51,USR-00185,Legal,Chat,Email,Outlook,P3,Shared mailbox not updating in Outlook,Outlook is not pulling new messages. Webmail on the browser shows them immediately.,In Progress,TECH-04,,,No,Yes,
TCK-00023,,2025-04-25T10:55,USR-00207,Engineering,Email,Printing,Printer,P2,Print jobs stuck in queue,The 3rd floor printer shows 'offline' and my print jobs just pile up in the queue.,Resolved,TECH-08,Fixed,2.3,No,No,5
TCK-00024,,2025-02-06T08:15,USR-00104,Marketing,Portal,Network,Laptop,P3,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Resolved,TECH-03,User Education,2.1,No,No,5
TCK-00025,,2025-03-07T13:06,USR-00191,Sales,Chat,Hardware,Printer,P3,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Open,TECH-05,,,No,No,
TCK-00026,,2025-04-02T10:53,USR-00146,Legal,Portal,Hardware,Laptop,P3,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",In Progress,TECH-02,,,No,No,
TCK-00027,,2025-03-23T11:19,USR-00225,Engineering,Chat,Software,Outlook,P3,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,In Progress,TECH-06,,,No,No,
TCK-00028,,2025-04-23T11:55,USR-00180,Finance,Portal,Network,Laptop,P4,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Open,TECH-08,,,No,No,
TCK-00029,CASE-00093,2025-02-02T14:08,USR-00202,Sales,Portal,Software,Laptop,P1,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,In Progress,TECH-06,,,No,Yes,
